schema_version,dataset,architecture,seed,aggregate_accuracy,train_time_sec,epochs_run,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
1.0,nsl_kdd,random_forest,2,0.7391767210787793,1.2,,0.974050046339203,0.6386038347285984,9711,0.7555644945025476,0.9606205250596659,7458,0.6146220570012392,0.8359550561797753,2421,0.029048656499636893,0.963855421686747,2754,0.01,0.6666666666666666,200
1.0,nsl_kdd,random_forest,3,0.7499556422995032,1.14,,0.9741530223457935,0.6477233824032865,9711,0.7839903459372486,0.9621523778180023,7458,0.61090458488228,0.8519585253456221,2421,0.042483660130718956,0.975,2754,0.02,0.6666666666666666,200
1.0,nsl_kdd,random_forest,4,0.7505322924059616,1.17,,0.9736381423128411,0.6477802137571937,9711,0.7866720300348619,0.9622765294407085,7458,0.6009913258983891,0.8543746330005872,2421,0.050835148874364564,0.9722222222222222,2754,0.015,0.75,200
1.0,nsl_kdd,random_forest,5,0.7533711852377573,1.21,,0.974050046339203,0.6506397028477094,9711,0.7945829981228212,0.9626380766731644,7458,0.5997521685254027,0.8551236749116607,2421,0.05228758169934641,0.972972972972973,2754,0.015,0.75,200
1.0,nsl_kdd,random_forest,6,0.7391323633782825,1.19,,0.9739470703326125,0.6392700236566408,9711,0.7593188522392063,0.9608076009501187,7458,0.6014043783560512,0.8258650028360749,2421,0.029774872912127815,0.9534883720930233,2754,0.02,0.6666666666666666,200
1.0,nsl_kdd,random_forest,7,0.7576738821859474,1.17,,0.9737411183194316,0.6553922927640699,9711,0.8183159023866988,0.9635301547205557,7458,0.6063610078479967,0.8524970963995354,2421,0.018518518518518517,0.9272727272727272,2754,0.015,0.6,200
1.0,nsl_kdd,random_forest,8,0.751375088715401,1.21,,0.9741530223457935,0.6485226571604854,9711,0.7878787878787878,0.9623321323288568,7458,0.6067740603056588,0.8575598365440747,2421,0.04793028322440087,0.9777777777777777,2754,0.01,0.6666666666666666,200
1.0,nsl_kdd,random_forest,9,0.7421930447125621,1.22,,0.9734321902996602,0.6397536545749865,9711,0.7618664521319388,0.9610960757780784,7458,0.6014043783560512,0.8509643483343075,2421,0.05010893246187364,0.9787234042553191,2754,0.015,0.75,200
1.0,nsl_kdd,random_forest,10,0.7623757984386089,1.25,,0.9734321902996602,0.6599413571628037,9711,0.8232770179672835,0.963741955736933,7458,0.6191656340355225,0.8565714285714285,2421,0.033042846768336964,0.978494623655914,2754,0.02,0.6666666666666666,200
1.0,nsl_kdd,random_forest,11,0.751596877217885,1.18,,0.973844094326022,0.6473406804024916,9711,0.7921694824349692,0.9623717217787914,7458,0.5964477488641058,0.8714544357272178,2421,0.048293391430646336,0.9779411764705882,2754,0.01,0.6666666666666666,200
