architecture,metric,n_seeds,mean_ci_half_width,median_ci_half_width,sd_subset_means,p05_subset_mean,p95_subset_mean,frac_ci_excludes_full_mean,prefix_ci_half_width,prefix_mean,full_mean
random_forest,normal_recall,20,0.00013305209992316782,0.0001338478435344871,4.4699162293514165e-05,0.9737308207187725,0.9738801359283287,0.008,0.00010751009205570893,0.9738080527237154,0.9738054783235505
random_forest,normal_recall,30,0.00010601535676224039,0.00010661994855702378,2.704528698059707e-05,0.9737651460543026,0.973854391926681,0.0,0.00010067617061050703,0.9737617135207497,0.9738054783235505
random_forest,normal_recall,40,9.124541210220089e-05,9.124541210220089e-05,0.0,0.9738054783235505,0.9738054783235505,0.0,9.124541210220089e-05,0.9738054783235505,0.9738054783235505
random_forest,dos_recall,3,0.036129290935244744,0.03266739199883337,0.009453953634491186,0.7644140520246715,0.7960154643782962,0.07,0.007761634785621453,0.7581120943952802,0.7788213998390989
random_forest,dos_recall,5,0.019723222849291788,0.018461242579593185,0.007136602329344394,0.7678707428264951,0.7908567980691875,0.05,0.018750517162238158,0.7689997318315902,0.7788213998390989
random_forest,dos_recall,10,0.01201175414383483,0.012591592417096925,0.004699871667377361,0.771130329847144,0.787450388844194,0.038,0.014905528290698238,0.7766961651917403,0.7788213998390989
random_forest,dos_recall,20,0.007934985088715105,0.008008998481782456,0.0028009483108380174,0.7741197371949585,0.7834868597479218,0.015,0.01007267030737473,0.7836082059533387,0.7788213998390989
random_forest,dos_recall,30,0.0064035287274441825,0.006455310964377837,0.001554465284661191,0.7761593814248681,0.7812107803700724,0.001,0.00671521023402959,0.7827478323053544,0.7788213998390989
random_forest,dos_recall,40,0.005492640627183879,0.005492640627183879,0.0,0.7788213998390989,0.7788213998390989,0.0,0.005492640627183879,0.7788213998390989,0.7788213998390989
random_forest,probe_recall,3,0.01824034915420874,0.01849790560724819,0.004317523018313536,0.5997521685254027,0.613795952085915,0.066,0.020734248319046075,0.6056725870852264,0.6064952498967369
random_forest,probe_recall,5,0.009870605957032918,0.01026385230406017,0.003434502224947011,0.6009087154068566,0.6125609252375052,0.06,0.008525105104543003,0.6057827344072697,0.6064952498967369
random_forest,probe_recall,10,0.005827639025303776,0.005915997161138168,0.002236496111176133,0.6029739776951673,0.6103263114415529,0.035,0.003748443663162964,0.6044609665427509,0.6064952498967369
random_forest,probe_recall,20,0.0038338164264702704,0.0038392010361095142,0.0012641817127436988,0.6043783560512186,0.6085295332507228,0.009,0.003841012911897043,0.6067534076827756,0.6064952498967369
random_forest,probe_recall,30,0.0030693574939549004,0.0030793145662803617,0.0007510546945278336,0.6052595346275643,0.6076972325485336,0.0,0.0028573532675643405,0.6069255128734683,0.6064952498967369
random_forest,probe_recall,40,0.0026281534775475617,0.0026281534775475617,0.0,0.6064952498967369,0.6064952498967369,0.0,0.0026281534775475617,0.6064952498967369,0.6064952498967369
random_forest,r2l_recall,3,0.027388643177356647,0.027344468585719945,0.006452061365575363,0.027590171871217577,0.04878358750907765,0.108,0.030029418983882183,0.04296780440571283,0.03812636165577338
random_forest,r2l_recall,5,0.014318082161045038,0.014408787901205002,0.004944924000526819,0.02976761074800287,0.04582425562817716,0.055,0.011506167506626745,0.044444444444444384,0.03812636165577338
random_forest,r2l_recall,10,0.008484394249040328,0.008629105470345007,0.003239531804640563,0.03311365286855479,0.043465867828612885,0.029,0.008534080807263646,0.0420842411038489,0.03812636165577338
random_forest,r2l_recall,20,0.005602890936367373,0.005643780149742463,0.0018881038149222591,0.035203340595497415,0.04130355846042116,0.009,0.005891122744997905,0.038271604938271565,0.03812636165577338
random_forest,r2l_recall,30,0.004494032027241325,0.004514410105364083,0.0010870525003696594,0.03633442265795203,0.039906802227063616,0.0,0.00464525170873788,0.03610505930767364,0.03812636165577338
random_forest,r2l_recall,40,0.003854389892188305,0.003854389892188305,0.0,0.03812636165577338,0.03812636165577338,0.0,0.003854389892188305,0.03812636165577338,0.03812636165577338
random_forest,u2r_recall,3,0.010455045362495632,0.007171087882915772,0.002559012654910134,0.011666666666666665,0.018333333333333337,0.077,0.014342175765831541,0.013333333333333334,0.014750000000000003
random_forest,u2r_recall,5,0.005553232549351955,0.00519425316841784,0.0019339441926126359,0.012,0.018000000000000002,0.04,0.00620831999101882,0.015,0.014750000000000003
random_forest,u2r_recall,10,0.0032342970047645413,0.003286838155681354,0.001349367181975237,0.0125,0.017,0.041,0.0029204323393404227,0.015000000000000003,0.014750000000000003
random_forest,u2r_recall,20,0.002159280008200935,0.00218399391820189,0.0007506409923521365,0.013500000000000002,0.016000000000000004,0.006,0.0021473973702164245,0.015000000000000003,0.014750000000000003
random_forest,u2r_recall,30,0.0017418862772840484,0.0017632857174516494,0.00042448369654305123,0.014000000000000004,0.015333333333333336,0.001,0.0016261619573319306,0.015000000000000003,0.014750000000000003
random_forest,u2r_recall,40,0.0014908607430162112,0.0014908607430162112,0.0,0.014750000000000003,0.014750000000000003,0.0,0.0014908607430162112,0.014750000000000003,0.014750000000000003
xgboost,aggregate_accuracy,3,0.006188143679535648,0.005841835876294247,0.0015187492585670194,0.7738755322924059,0.7787888869174355,0.054,0.005354176526087868,0.7760379701916253,0.7763595635202272
xgboost,aggregate_accuracy,5,0.0032283935054263366,0.00319151794854428,0.001193730267285401,0.7744229063165365,0.7782824698367635,0.057,0.00218143894122951,0.7766678495386798,0.7763595635202272
xgboost,aggregate_accuracy,10,0.0019315103500654686,0.0019411819034700108,0.0007613831479585799,0.7750754080908446,0.7775638750887154,0.034,0.001347590368820633,0.7764682398864444,0.7763595635202272
xgboost,aggregate_accuracy,20,0.001286336548127425,0.0012966416076018907,0.00041823742664999573,0.7756584900638752,0.7770716155074521,0.006,0.0011710500588376358,0.776179914833215,0.7763595635202272
xgboost,aggregate_accuracy,30,0.0010264912350354978,0.0010353310494431735,0.0002486091507562842,0.7759743168914123,0.7768027708776911,0.002,0.0009792726584712667,0.776401703335699,0.7763595635202272
xgboost,aggregate_accuracy,40,0.000881680932365976,0.000881680932365976,0.0,0.7763595635202272,0.7763595635202272,0.0,0.000881680932365976,0.7763595635202272,0.7763595635202272
xgboost,normal_recall,3,0.00045468814341010575,0.00039075100747561355,0.00011992931993687799,0.9716815981876223,0.9720935022139839,0.043,0.00044306999585508013,0.9717845741942126,0.9718592317989907
xgboost,normal_recall,5,0.0002476068573803752,0.00021009804777823062,8.968409417341173e-05,0.9717227885902584,0.9720121511687778,0.051,0.00019391171746968965,0.9718463597981669,0.9718592317989907
xgboost,normal_recall,10,0.00014943673611075278,0.0001440180036703523,5.900618082998518e-05,0.9717639789928947,0.9719596334054165,0.042,0.00015452016323375887,0.9718669549994852,0.9718592317989907
xgboost,normal_recall,20,0.00010044145611299099,0.00010324682602123497,3.3917674408596535e-05,0.9718000205952014,0.9719132942024509,0.015,0.00011490272935600421,0.9718875502008032,0.9718592317989907
xgboost,normal_recall,30,8.134107538944923e-05,8.444532479586836e-05,1.9723121182446697e-05,0.9718257645968489,0.9718909827343561,0.002,8.162081071594047e-05,0.971853224865273,0.9718592317989907
xgboost,normal_recall,40,6.99566104068051e-05,6.99566104068051e-05,0.0,0.9718592317989907,0.9718592317989907,0.0,6.99566104068051e-05,0.9718592317989907,0.9718592317989907
xgboost,dos_recall,3,0.009299107068783716,0.006636644309277616,0.0028218124356740692,0.8341356038258694,0.8427639224099401,0.248,0.001386737734658768,0.8429427013497811,0.8396185304371144
xgboost,dos_recall,5,0.005273264354174471,0.004858564726659428,0.0021161893649845756,0.8358541163850898,0.842345132743363,0.187,0.0012143322417966854,0.8422901582193619,0.8396185304371144
xgboost,dos_recall,10,0.003262096899828293,0.0034569627277571523,0.001342811407905956,0.8373149637972648,0.8417679002413515,0.137,0.003055709197312152,0.8401314025207831,0.8396185304371144
xgboost,dos_recall,20,0.0022778580045601762,0.0023507475728157274,0.000777668035437518,0.8383805980155538,0.840896017699115,0.034,0.002040083034073166,0.8397492625368732,0.8396185304371144
xgboost,dos_recall,30,0.001847693163935709,0.0018916281335700138,0.0004512561541888836,0.8389150353088406,0.8403910789309019,0.002,0.0017492104939579283,0.8397961920085815,0.8396185304371144
