schema_version,dataset,partition_id,split_seed,architecture,seed,aggregate_accuracy,train_time_sec,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
rev1.0,nsl_kdd,4,880004,xgboost,0,0.9965844570617459,3.85,0.9978625170998632,0.9959040873794692,11696,1.0,0.9990138067061144,8104,0.99859616284511,0.9967304997664642,2137,0.9314586994727593,0.9833024118738405,569,0.7368421052631579,0.8484848484848485,38
rev1.0,nsl_kdd,4,880004,xgboost,1,0.9964070262597587,3.84,0.9976060191518468,0.9958180421609627,11696,1.0,0.9990138067061144,8104,0.9981282171268133,0.9957983193277311,2137,0.929701230228471,0.9796296296296296,569,0.7631578947368421,0.8787878787878788,38
rev1.0,nsl_kdd,4,880004,xgboost,2,0.9965844570617459,3.95,0.9976060191518468,0.9961581149150517,11696,1.0,0.9990138067061144,8104,0.9981282171268133,0.9962634283045306,2137,0.9367311072056239,0.9797794117647058,569,0.7631578947368421,0.8529411764705882,38
rev1.0,nsl_kdd,4,880004,xgboost,3,0.9964513839602555,3.82,0.9976915184678523,0.9959033882393103,11696,0.9998766041461007,0.9990136851189743,8104,0.9981282171268133,0.9957983193277311,2137,0.929701230228471,0.9814471243042672,569,0.7894736842105263,0.8571428571428571,38
rev1.0,nsl_kdd,4,880004,xgboost,4,0.9964513839602555,3.83,0.9976915184678523,0.9959033882393103,11696,0.9998766041461007,0.9990136851189743,8104,0.9981282171268133,0.9957983193277311,2137,0.9314586994727593,0.9796672828096118,569,0.7631578947368421,0.8787878787878788,38
rev1.0,nsl_kdd,4,880004,xgboost,5,0.9964070262597587,3.8,0.9976060191518468,0.9959030385797201,11696,1.0,0.9988906692961913,8104,0.9976602714085167,0.9962616822429906,2137,0.929701230228471,0.9796296296296296,569,0.7894736842105263,0.8571428571428571,38
rev1.0,nsl_kdd,4,880004,xgboost,6,0.9964957416607523,3.94,0.9976915184678523,0.9959883919426425,11696,0.9998766041461007,0.9991368680641184,8104,0.9981282171268133,0.9962634283045306,2137,0.9314586994727593,0.977859778597786,569,0.7894736842105263,0.8571428571428571,38
rev1.0,nsl_kdd,4,880004,xgboost,7,0.9964070262597587,3.86,0.9975205198358413,0.9959026888604353,11696,0.9998766041461007,0.9990136851189743,8104,0.9981282171268133,0.9944055944055944,2137,0.9314586994727593,0.9851301115241635,569,0.7894736842105263,0.8571428571428571,38
rev1.0,nsl_kdd,4,880004,xgboost,8,0.9963626685592619,3.91,0.9975205198358413,0.995732696082615,11696,1.0,0.9988906692961913,8104,0.9976602714085167,0.9967274427302478,2137,0.929701230228471,0.977818853974122,569,0.7894736842105263,0.8823529411764706,38
rev1.0,nsl_kdd,4,880004,xgboost,9,0.9964957416607523,4.15,0.9976060191518468,0.9958180421609627,11696,1.0,0.9990138067061144,8104,0.99859616284511,0.9953358208955224,2137,0.9314586994727593,0.9851301115241635,569,0.7631578947368421,0.8787878787878788,38
