schema_version,dataset,config,library,seed,aggregate_accuracy,train_time_sec,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,32,0.7606014904187367,6.53,0.9714756461744414,0.6600433778772826,9711,0.7987396084741217,0.9625141379867507,7458,0.6249483684427922,0.8461968680089486,2421,0.08169934640522876,0.974025974025974,2754,0.09,0.4186046511627907,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,33,0.7115862313697658,5.11,0.9616929255483473,0.6179857067231339,9711,0.7131938857602574,0.9424167257264352,7458,0.5497728211482859,0.8066666666666666,2421,0.0018155410312273058,0.20833333333333334,2754,0.24,0.42105263157894735,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,34,0.7504435770049681,6.64,0.9717845741942127,0.648680230959582,9711,0.7633413783856262,0.9611683268613878,7458,0.6171003717472119,0.8440677966101695,2421,0.10167029774872913,0.9824561403508771,2754,0.07,0.7777777777777778,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,35,0.7480926188786373,6.61,0.9710637421480794,0.646554679465204,9711,0.7630732099758648,0.9613175675675676,7458,0.6187525815778604,0.8448956570783982,2421,0.08024691358024691,0.9778761061946902,2754,0.125,0.625,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,36,0.7505766501064585,6.78,0.9711667181546699,0.6484015125472671,9711,0.7666934835076428,0.9610084033613445,7458,0.6228831061544816,0.8524590163934426,2421,0.08424110384894698,0.9830508474576272,2754,0.16,0.7272727272727273,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,37,0.670111781405252,5.47,0.8238080527237154,0.6688403979600368,9711,0.7097076964333602,0.7595063854211508,7458,0.5786864931846345,0.5498430141287284,2421,0.14161220043572983,0.4083769633507853,2754,0.115,0.2072072072072072,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,38,0.750221788502484,6.88,0.9668417258778704,0.6633929202289267,9711,0.7725931885223921,0.9580977718656468,7458,0.654275092936803,0.7876678269517653,2421,0.058823529411764705,0.7980295566502463,2754,0.08,0.09815950920245399,200
rev1.0,nsl_kdd,lgb_lr005_400rounds,lightgbm,39,0.7501330731014905,6.64,0.9713726701678509,0.6483607120764314,9711,0.7645481362295522,0.9609032692955848,7458,0.6274266831887649,0.8457683741648107,2421,0.08823529411764706,0.9878048780487805,2754,0.07,0.7368421052631579,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,0,0.7610894251242015,2.88,0.9719905262073937,0.6636433945018632,9711,0.799410029498525,0.9625443978043268,7458,0.6414704667492772,0.8101199791340636,2421,0.07044299201161947,0.9797979797979798,2754,0.05,0.8333333333333334,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,1,0.7601135557132718,2.83,0.9724024302337555,0.660904255319149,9711,0.7919013140252078,0.9622026718800912,7458,0.6460140437835605,0.8288288288288288,2421,0.07734204793028322,0.9770642201834863,2754,0.05,0.7692307692307693,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,2,0.7638396025550035,2.88,0.9719905262073937,0.6669257401257684,9711,0.7968624296057925,0.9624291497975709,7458,0.644361833952912,0.8091286307053942,2421,0.09731299927378359,0.9745454545454545,2754,0.05,0.7692307692307693,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,3,0.7677430801987225,2.82,0.9718875502008032,0.6724137931034483,9711,0.8000804505229284,0.9625746088078723,7458,0.6621230896323833,0.8015,2421,0.10530137981118373,0.9797297297297297,2754,0.05,0.7692307692307693,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,4,0.7622870830376153,2.87,0.9721964782205746,0.6641108610016883,9711,0.8043711450791097,0.9627668111057616,7458,0.6361007847996696,0.8182784272051009,2421,0.07116920842411038,0.9702970297029703,2754,0.045,0.6923076923076923,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,5,0.7633516678495387,2.86,0.972711358253527,0.6674203349113262,9711,0.7948511665325825,0.9623376623376624,7458,0.6526228831061545,0.8012170385395537,2421,0.08823529411764706,0.9918367346938776,2754,0.06,0.8571428571428571,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,6,0.7639283179559971,2.84,0.9717845741942127,0.6672087104072398,9711,0.7939125770984178,0.9622948155371364,7458,0.6546881453944651,0.809086268504339,2421,0.09803921568627451,0.9782608695652174,2754,0.045,0.75,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,7,0.7670333569907736,2.85,0.9721964782205746,0.6668785759694851,9711,0.7927058192544918,0.9622395833333334,7458,0.6802973977695167,0.8476582604220277,2421,0.10239651416122005,0.9825783972125436,2754,0.05,0.7692307692307693,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,8,0.7581174591909156,2.96,0.9720935022139842,0.661852345228914,9711,0.7945829981228212,0.9623254303345242,7458,0.6129698471705907,0.7910447761194029,2421,0.08387799564270153,0.9871794871794872,2754,0.05,0.7692307692307693,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,9,0.7631742370475515,2.82,0.9724024302337555,0.6648127288087863,9711,0.804237060874229,0.9627608346709471,7458,0.6336224700536969,0.8194444444444444,2421,0.07915758896151052,0.9775784753363229,2754,0.06,0.8,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,10,0.7704488999290277,2.82,0.9728143342601174,0.6692405780674412,9711,0.7969965138106732,0.9624352331606217,7458,0.6629491945477075,0.8582887700534759,2421,0.1328976034858388,0.9838709677419355,2754,0.035,0.7,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,11,0.7645936834634492,2.85,0.9719905262073937,0.6690530195633683,9711,0.8012872083668544,0.9626288659793815,7458,0.6220570012391574,0.7917981072555205,2421,0.1111111111111111,0.9807692307692307,2754,0.05,0.7142857142857143,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,12,0.767876153300213,2.96,0.9726083822469365,0.669478310178622,9711,0.7991418610887637,0.962532299741602,7458,0.6712102437009501,0.830352580480327,2421,0.09840232389251997,0.9854545454545455,2754,0.05,0.8333333333333334,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,13,0.7625975869410929,2.85,0.9721964782205746,0.665984762979684,9711,0.7910968087959238,0.9621656881930855,7458,0.6546881453944651,0.8078491335372069,2421,0.09259259259259259,0.9770114942528736,2754,0.055,0.8461538461538461,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,14,0.7746185237757275,2.9,0.9719905262073937,0.6784302450945159,9711,0.8168409761330115,0.963314358001265,7458,0.667905824039653,0.8137896326119779,2421,0.11038489469862019,0.990228013029316,2754,0.055,0.8461538461538461,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,15,0.7590489709013485,2.9,0.9719905262073937,0.6630839480154549,9711,0.7912308930008045,0.9620149983697425,7458,0.654275092936803,0.7991927346115035,2421,0.06390704429920116,0.9832402234636871,2754,0.06,0.8571428571428571,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,16,0.7659687721788503,2.84,0.9719905262073937,0.6687212185618137,9711,0.801421292571735,0.9626348848445805,7458,0.6493184634448576,0.8140859658208183,2421,0.09767610748002904,0.9817518248175182,2754,0.055,0.7333333333333333,200
rev1.0,nsl_kdd,lgb_xgb_matched_reg,lightgbm,17,0.7642831795599716,2.86,0.9721964782205746,0.6640641485545473,9711,0.8000804505229284,0.9625746088078723,7458,0.6356877323420075,0.8382352941176471,2421,0.09876543209876543,0.9819494584837545,2754,0.055,0.7333333333333333,200
